ASIN,PT,height cm,width cm,length cm
B09BBC9P91,STORAGE_BOX,27.0,40.0,60.0
B07XGZV2NB,STORAGE_BOX,50.0,40.0,40.0
B082XKBZ9S,STORAGE_BOX,12.6,14.5,33.5
B07PVF8N5K,STORAGE_BOX,63.0,62.0,120.0
B07YJLKPVP,STORAGE_BOX,2.6,10.5,17.0
B08NVGTV69,STORAGE_BOX,27.3,31.0,38.0
B07J4DQ2TW,STORAGE_BOX,30.0,30.0,45.0
B07PCMSLLF,STORAGE_BOX,35.0,43.0,60.0
B01EBQVP16,STORAGE_BOX,8.0,5.0,5.0
B00KL7VM22,STORAGE_BOX,38.7,52.4,77.5
B0957CM81S,STORAGE_BOX,16.0,40.0,100.0
B087JYPSL1,STORAGE_BOX,35.0,15.5,50.0
B08X4L9XPT,STORAGE_BOX,23.0,30.0,40.0
B087C1LHBD,STORAGE_BOX,20.0,10.0,29.0
B08FBFTW29,STORAGE_BOX,35.0,40.0,58.0
B08XTTK5PD,STORAGE_BOX,34.0,38.0,40.0
B07ZFG4YP8,STORAGE_BOX,50.0,40.0,40.0
B07QKPQCFW,STORAGE_BOX,50.0,40.0,40.0
B087WQMR91,STORAGE_BOX,25.0,25.0,38.0
B08PP625JW,STORAGE_BOX,28.0,26.0,26.0
B07P3HRNZY,STORAGE_BOX,33.0,33.0,38.0
B07VPYDQYQ,STORAGE_BOX,2.9,8.4,11.3
B092DTSWSW,STORAGE_BOX,21.1,18.0,26.2
B078JG3422,STORAGE_BOX,48.0,35.0,76.0
B08QZKBPDL,STORAGE_BOX,29.0,30.0,44.0
B09G2XBC14,STORAGE_BOX,35.0,43.0,60.0
B002BDTETW,STORAGE_BOX,12.4,21.0,34.6
B08F7CMMD9,STORAGE_BOX,23.0,28.0,40.0
B07PZS2PML,STORAGE_BOX,23.0,26.0,38.0
B07F2KG5WW,STORAGE_BOX,17.8,47.6,86.0
B08R58VQCD,STORAGE_BOX,20.0,30.0,40.0
B07Y13NG4K,STORAGE_BOX,13.65,18.1,18.73
B07KBY3VLD,STORAGE_BOX,30.0,30.0,30.0
B0855H262J,STORAGE_BOX,25.0,23.0,38.0
B079WWW94Y,STORAGE_BOX,30.0,25.0,40.0
B0719HR3R5,STORAGE_BOX,28.0,28.0,44.0
B09J4H8MDN,STORAGE_BOX,2.0,4.4,6.4
B00DM4T0MK,STORAGE_BOX,17.5,25.0,35.0
B08YCYMZF6,STORAGE_BOX,25.0,25.0,38.0
B08YDMNF62,STORAGE_BOX,30.0,30.0,45.0
B01MRC76VL,STORAGE_BOX,29.5,16.5,24.5
B0899RLFR1,STORAGE_BOX,40.65,33.0,62.2
B09DKF89K9,STORAGE_BOX,7.9,26.5,26.5
B01MCSSKG4,STORAGE_BOX,13.0,13.0,23.0
B08YDHM29J,STORAGE_BOX,30.0,30.0,45.0
B078WT5YLZ,STORAGE_BOX,42.0,35.0,70.0
B08YYT91XW,STORAGE_BOX,6.5,12.0,16.0
B07X2ZC2Q1,STORAGE_BOX,33.0,33.0,33.0
B07PTZGGXF,STORAGE_BOX,50.0,35.0,38.0
B08FF82JDX,STORAGE_BOX,31.4,31.4,39.3
B085DJ56KF,STORAGE_BOX,38.0,38.0,76.0
B07GDTKHJ8,STORAGE_BOX,26.5,26.5,26.5
B087Q6HJ65,TOTE_BAG,30.0,22.0,42.0
B07LBJ2R6N,TOTE_BAG,15.0,11.0,20.0
B09HCFGKLG,TOTE_BAG,42.0,8.0,35.0
B07RXD39ZP,TOTE_BAG,33.0,25.5,51.0
B07L8BLXHK,TOTE_BAG,35.0,13.0,38.5
B07JMDZBPF,TOTE_BAG,33.0,15.0,42.0
B088F1T5K7,TOTE_BAG,35.0,13.0,38.5
B07HFC5BNG,TOTE_BAG,37.0,16.0,33.0
B08PTZ8MJF,TOTE_BAG,32.0,23.0,40.0
B071ZNFVMD,TOTE_BAG,33.0,23.0,41.0
B08B8FL7BZ,TOTE_BAG,40.0,13.0,45.0
B07K5LC8PL,TOTE_BAG,37.0,16.0,33.0
B08BWT9SG9,TOTE_BAG,35.0,15.0,38.0
B08PTYV7R7,TOTE_BAG,32.0,23.0,40.0
B07H57BWCV,TOTE_BAG,34.0,18.0,36.0
B09337QHL3,TOTE_BAG,33.0,22.0,40.0
B07HFBZWBQ,TOTE_BAG,37.0,16.0,33.0
B09339FCFC,TOTE_BAG,33.0,22.0,40.0
B00ESX4TBG,TOWEL_HOLDER,86.5,20.0,43.5
B07YSHGPRZ,TOWEL_HOLDER,5.0,14.5,76.1
B09BVPYSTX,TOWEL_HOLDER,32.0,12.5,50.0
B08Q9PQK5H,TOWEL_HOLDER,25.4,14.0,16.5
B083TS1Z7V,TOWEL_HOLDER,7.0,5.7,22.5
B07S1CZZBC,TOWEL_HOLDER,77.5,21.5,54.5
B07VH3PGSH,TOWEL_HOLDER,18.6,23.0,60.0
B089W5G1F3,TOWEL_HOLDER,5.0,7.2,30.5
B08QBJNWLW,TOWEL_HOLDER,25.4,14.0,16.5
B08T272R7W,TOWEL_HOLDER,5.0,8.0,81.2
B07X5DH7WD,TOWEL_HOLDER,78.7,11.4,17.5
B07Z49NJ3F,TOWEL_HOLDER,8.1,8.1,91.0
B08Q3ZZGK1,TOWEL_HOLDER,9.0,10.0,35.0
B08T1JQQXJ,TOWEL_HOLDER,5.0,8.0,45.2
B088LL6HB3,TOWEL_HOLDER,9.0,10.0,35.0
B07W9JZW8P,TOWEL_HOLDER,9.0,5.4,22.8
B08P7DLPSG,TOWEL_HOLDER,12.0,5.5,63.5
B089W3Q5KV,TOWEL_HOLDER,5.0,6.3,40.0
B07YRHS9TG,TOWEL_HOLDER,8.1,8.1,45.0
B089W5B1RS,TOWEL_HOLDER,5.0,14.5,40.0
B08XVZJ9S6,TOWEL_HOLDER,16.0,10.5,40.0
B08T1ZXKQX,TOWEL_HOLDER,5.0,8.0,91.4
B09J8TSGBN,TOWEL_HOLDER,6.3,6.3,23.5
B07TVBBWKZ,TOWEL_HOLDER,3.0,8.0,38.0
B08CXX8NKR,TOWEL_HOLDER,5.0,7.0,43.0
B07KYY14F3,TOWEL_HOLDER,78.7,11.4,17.5
B096LP5LSN,TOWEL_HOLDER,24.0,14.5,40.0
B07CWMLKXV,TOWEL_HOLDER,13.0,25.0,63.0
B0769WBZ73,TOWEL_HOLDER,14.0,22.0,48.0
B07F9LK31P,TOWEL_HOLDER,13.6,5.0,99.4
B0817LN9QB,TOWEL_HOLDER,24.5,3.0,35.0
B07D3SJ7TN,TOWEL_HOLDER,13.0,20.0,60.0
B017K27OCM,TOWEL_HOLDER,7.2,6.0,23.0
B082MM2T4M,TOWEL_HOLDER,9.5,25.5,58.0
B01M16SQXD,TOWEL_HOLDER,82.5,24.0,54.0
B075T7YPV9,TOWEL_HOLDER,84.0,26.0,48.0
B085TBV2Y7,TOY_FIGURE,30.0,11.0,13.0
B0925T98GG,TOY_FIGURE,43.0,9.0,18.0
B094J26M96,TOY_FIGURE,10.0,15.0,15.0
B09F3G64TM,TOY_FIGURE,7.0,6.0,14.0
B096S3KN4H,TOY_FIGURE,15.0,13.0,18.0
B09JC2D5XF,TOY_FIGURE,10.0,8.0,24.0
B09JW8G98X,TOY_FIGURE,10.5,18.5,24.5
B07P97R178,TOY_FIGURE,13.0,8.0,9.5
B097DZTSG1,TOY_FIGURE,11.0,23.0,30.5
B08X4FTZ4S,TOY_FIGURE,10.0,20.0,20.0
B092ZYD9FT,TOY_FIGURE,40.0,10.0,18.0
B07DYPC3PX,TOY_FIGURE,18.0,8.0,8.0
B096YFZFTC,TOY_FIGURE,42.0,29.0,36.0
B08SBQ9JN2,TOY_FIGURE,36.0,10.0,18.0
B08SR68V7C,TOY_FIGURE,36.0,10.0,18.0
B09G3BQKQS,TOY_FIGURE,14.5,13.5,30.0
B098X4J8X3,TOY_FIGURE,10.0,20.0,20.0
B09G3BPPZP,TOY_FIGURE,20.0,17.0,40.0
B08SQ9YCX8,TOY_FIGURE,36.0,10.0,18.0
B08P9SF7P1,TOY_FIGURE,33.0,12.0,35.0
B09FQ6HK42,TOY_FIGURE,35.0,18.0,24.0
B096YFV9CN,TOY_FIGURE,33.0,11.0,18.0
B09K7SC827,TOY_FIGURE,40.0,10.0,18.0
B09KCB3QM1,TOY_FIGURE,36.0,10.0,18.0
B08L4TXTBF,TOY_FIGURE,24.0,14.5,16.0
B00QUB7FH4,TRASH_CAN,88.5,32.0,47.0
B07YNZG6CY,TRASH_CAN,26.0,14.0,26.0
B089RBPCZX,TRASH_CAN,42.0,14.0,24.0
B096S9ZNX6,TRASH_CAN,24.5,19.5,19.5
B08KWMT8MR,TRASH_CAN,28.0,14.0,25.4
B07PFKT31T,TRASH_CAN,28.0,20.3,20.3
B07QGH91VJ,TRASH_CAN,28.0,14.0,25.4
B08322145C,TRASH_CAN,60.2,29.8,40.1
B07YNZFCXX,TRASH_CAN,26.0,14.0,26.0
B00083HP70,TRASH_CAN,69.0,37.5,37.5
B093MNP292,TRASH_CAN,28.0,20.3,20.3
B084GVGVHB,TRASH_CAN,34.0,23.5,40.0
B07RZ11NZR,TRASH_CAN,24.8,20.0,20.0
B01DM22PV4,TRASH_CAN,25.0,17.0,22.5
B01MYU38AF,TRASH_CAN,25.4,12.7,27.3
B083LRLGF9,TRASH_CAN,20.0,20.0,24.0
B079B5CQMW,TRASH_CAN,29.8,14.0,28.6
B01MTCPU0Q,TRASH_CAN,25.4,12.7,27.3
B08JVDN97B,TRASH_CAN,30.48,20.32,20.32
B08ZMPLJJG,TRASH_CAN,24.5,19.5,19.5
B08R1FYPL5,TRASH_CAN,24.5,19.5,19.5
B08FR97TCZ,TRASH_CAN,30.48,20.32,20.32
B07116WPN1,TRASH_CAN,92.0,40.0,40.0
B092W5RVTG,TRASH_CAN,28.0,20.3,20.3
B00T2QYMV6,TRASH_CAN,44.0,30.0,41.0
B08CXY79GK,TRASH_CAN,54.0,31.0,57.0
B089YSHXD6,TRASH_CAN,64.0,31.0,31.0
B07DX84L54,TRASH_CAN,34.0,17.0,26.0
B07NQ395R6,TRASH_CAN,66.5,31.2,54.5
B01FARI2LQ,TRASH_CAN,25.0,17.0,22.5
B081GVXF84,TRASH_CAN,30.7,19.7,21.0
B07VZYCTRJ,TRASH_CAN,25.4,12.7,27.3
B07QD81957,TRASH_CAN,28.0,14.0,25.4
B07ZJWZBCQ,TRASH_CAN,30.5,16.5,28.0
B07RWL3L76,TRASH_CAN,24.8,20.0,20.0
B07QP1QYXC,TRASH_CAN,28.0,20.3,20.3
B01M1DVEAS,TRASH_CAN,23.1,14.5,14.5
B01DM22PV4,TRASH_CAN,25.0,17.0,22.5
B07Q58G2WV,TRASH_CAN,24.8,20.0,20.0
B07Q47RSLN,TRASH_CAN,24.8,20.0,20.0
B06Y47MBK9,TRASH_CAN,20.0,6.5,6.5
B00UST5S46,TRASH_CAN,58.5,42.0,49.0
B005G71YE8,TRASH_CAN,40.5,32.0,39.0
B08L3LJQP5,TRASH_CAN,30.0,25.0,25.0
B07FM7K366,TRASH_CAN,67.0,29.0,44.0
B099NW25GY,TRASH_CAN,25.5,16.7,16.7
B08L1CGQQC,TRASH_CAN,64.0,38.0,58.0
B01GCJI4T6,TRASH_CAN,70.8,27.3,32.4
B06ZY9DBJ4,TRASH_CAN,78.0,29.5,40.5
B083L94FC8,TRASH_CAN,83.0,32.0,58.5
B082DR2YCG,TRASH_CAN,29.8,14.0,28.6
B07Q39BNWQ,TRASH_CAN,27.0,18.0,18.0
B0953FGWLS,TRASH_CAN,29.0,15.0,25.5
B01MRZOABW,TRASH_CAN,40.5,32.0,39.0
B00KY3S5AU,TRASH_CAN,33.0,18.1,24.8
B0856SXB53,TRASH_CAN,72.0,30.0,39.9
B085F3QR7J,TRASH_CAN,98.0,56.0,75.0
B013DA46VC,TRASH_CAN,65.0,29.5,46.5
B09DDCDTPC,TRASH_CAN,30.0,21.4,21.4
B08WB5SLR1,TRASH_CAN,66.0,33.0,33.0
B004LLHEEE,TRASH_CAN,34.0,17.0,33.0
B07K83VF39,TRASH_CAN,85.5,23.8,35.0
B08SGD6SNG,TRASH_CAN,37.5,16.5,34.3
B07V2RDFH3,TRASH_CAN,61.5,25.0,34.0
B00KY41IGW,TRASH_CAN,60.2,29.8,40.1
B0731N7W5L,TRASH_CAN,30.5,16.5,28.0
B015YKLY0K,TRASH_CAN,23.1,19.7,19.7
B09FLXYYG6,TRASH_CAN,45.0,23.5,30.0
B01ER56BHY,TRASH_CAN,47.6,25.2,33.3
B0158K54TI,TRASH_CAN,40.0,28.0,48.0
B08HLLBZN4,TRASH_CAN,42.93,32.51,39.88
B083LP85XR,TRASH_CAN,82.0,30.0,60.4
B08PPKJF8K,TRASH_CAN,63.0,28.0,31.5
B07VYW292M,TRASH_CAN,25.4,12.7,27.3
B095T1DNV2,TRASH_CAN,25.4,12.7,27.3
B08B36PSBG,TRASH_CAN,63.0,23.8,35.0
B07Z8KFWDG,TRASH_CAN,76.2,37.0,37.0
B08B3RK2MK,TRASH_CAN,46.7,30.2,59.3
B07L3FLBR4,TRASH_CAN,44.0,31.0,37.5
B08P6R6X2M,TRASH_CAN,3260.0,28.5,30.0
B08RB52D9Z,TRASH_CAN,27.0,23.5,23.5
B08P6VFDZ1,TRASH_CAN,26.0,22.7,24.0
B08DD1P22D,TRASH_CAN,16.9,13.8,13.8
B077GTR27L,TRASH_CAN,50.8,19.3,25.6
B08TJ5SXH2,TRASH_CAN,27.0,23.5,23.5
B077GVTFXN,TRASH_CAN,50.8,19.3,25.6
B07MNL91VP,TRASH_CAN,24.2,19.0,19.0
B0773R2KLV,TRASH_CAN,24.2,19.0,19.0
B07QJJ41WB,TRASH_CAN,43.5,30.5,37.5
B07FMD1TTY,TRASH_CAN,67.0,29.0,44.0
B08R9THPG3,TRASH_CAN,10.16,6.35,15.5
B084RNLBNB,TRASH_CAN,33.0,24.0,28.0
B081YPM6RJ,TRASH_CAN,17.0,11.0,17.0
B08LTPCLRN,TRASH_CAN,20.0,19.0,19.0
B084RGNBPL,TRASH_CAN,26.0,16.5,22.0
B08G4M36SD,TRASH_CAN,22.5,17.0,17.0
B08GLVBVVB,TRASH_CAN,22.5,15.0,15.0
B07QP3CCS5,TRAY,19.0,15.7,28.7
B07X31FPD7,TRAY,22.0,25.0,25.0
B07PGXB1DC,TRAY,33.0,9.1,44.5
B07JJZMFZZ,TRAY,15.2,20.6,37.1
B07TMR3DJF,TRAY,19.0,15.7,28.7
B07X319N5W,TRAY,13.0,20.0,20.0
B07PBRN7MK,TRAY,2.8,15.0,24.5
B074JCG5MS,TRAY,19.0,15.7,28.7
B09CTLQ57W,TRAY,24.0,16.0,16.0
B0755F1KN4,TRAY,15.2,21.0,22.8
B085F3DNLV,TRAY,1.5,28.0,35.0
B07WR14PJ5,TRAY,18.0,12.0,16.0
B07WNLH5VQ,TRAY,15.0,12.0,24.0
B07CZP3NYC,TRAY,2.7,14.3,24.4
B07XDXBW3N,TRAY,15.0,12.0,24.0
B07Q5CFCPP,TRAY,19.0,15.7,28.7
B077XRPTVK,TRAY,24.0,29.0,29.0
B081245FYK,TRAY,1.2,30.0,40.0
B08HJMS8ZQ,TRAY,4.5,14.5,70.0
B081PM5LQB,TRAY,27.1,24.8,33.2
B07CZNZ6TF,TRAY,19.0,15.7,28.7
B083NSPM89,TRAY,27.0,31.0,34.3
B087PZ7RHF,TRAY,15.0,12.0,24.0
B07J5LQSG1,TRAY,1.2,30.0,40.0
B07RYZPWFC,TRAY,25.4,12.7,27.0
B07559P21F,TRAY,22.4,30.5,33.2
B07PBVG1VJ,TRAY,3.0,20.0,29.0
B08YNQM3MG,TRAY,3.0,20.0,29.0
B08TMFMB77,TRAY,2.5,12.0,22.0
B07RYWRL6B,TRAY,0.1,6.0,26.0
B07BZQMJRH,TRAY,5.0,20.0,24.0
B07WSMNJ7R,TRAY,15.0,12.0,24.0
B0036OQWT0,TRAY,19.0,30.48,30.48
B07JHBP66L,TRAY,2.5,10.3,28.5
B08R3JRX9Q,TRAY,2.8,15.0,25.0
B08GS9FXXY,TRAY,31.0,26.0,33.0
B07WC4TYZ1,TRAY,10.2,17.1,31.8
B07PV7KXY5,TRAY,5.0,18.7,30.0
B0881DF56S,TRAY,32.0,32.6,33.3
B07RWKG82S,TRAY,0.1,24.0,24.0
B08KHHGYRC,TRAY,0.1,20.0,20.0
B07BQL6NX5,TRAY,27.0,29.5,35.5
B07BYB34Q2,TRAY,36.0,33.0,33.0
B07BQL6NX5,TRAY,4.0,26.0,34.0
B07BYB34Q2,TRAY,36.0,33.0,33.0
B086XG5GWN,VASE,8.0,9.0,9.0
B086XH2CBN,VASE,20.0,15.0,15.0
B08SBHZS2V,VASE,23.0,8.5,8.5
B086XH9N3Y,VASE,6.0,6.0,6.0
B09BL4PLDS,VASE,25.0,10.3,10.3
B09FM1JT3H,VASE,21.0,8.5,8.5
B092GYSZWX,VASE,22.0,12.5,12.5
B09JC7BB3C,VASE,60.0,25.0,25.0
B085HN7V6F,VASE,1700.0,11.0,11.0
B07QKKB98N,VASE,18.0,9.0,9.0
B093GNWGKK,VASE,23.5,7.8,7.8
B084ZSJN3G,VASE,10.0,8.5,8.5
B091Y2SHYX,VASE,22.0,10.0,10.0
B09332M5WQ,VASE,22.0,10.0,10.0
B07P7ND3H8,VASE,13.5,11.5,11.5
B08YYPV7H6,VASE,17.5,4.6,4.6
B091XYS95H,VASE,22.0,10.0,10.0
B094DJ5L8W,VASE,17.5,4.6,4.6
B08YYDCMB9,VASE,17.5,4.6,4.6
B08HCTX88N,VASE,14.5,12.0,12.0
B092H1PZXL,VASE,22.0,12.5,12.5
B086XG43WN,VASE,17.0,11.0,11.0
B08MFPBG21,VASE,22.5,5.8,5.8
B08DTLD2HR,VASE,56.0,17.0,17.0
B08ZN396VX,VASE,22.0,10.0,10.0
B08N195LB3,VASE,15.0,9.0,9.0
B00FJYLSX0,VASE,32.5,36.0,36.0
B08R1BDBSJ,VASE,13.0,14.0,14.0
B085XZHT7P,VASE,10.4,8.0,8.0
B09JC7JF9R,VASE,60.0,25.0,25.0
B091SLYJQ7,VASE,13.0,12.0,12.0
B091PKHR7L,VASE,20.0,20.0,20.0
B0863DCDLM,VASE,22.0,10.0,10.0
B084ZRVSQQ,VASE,23.2,11.5,11.5
B01FFKTGEA,VASE,11.0,7.0,19.0
B09H5LH856,VASE,20.0,20.0,20.0
B08N1925J3,VASE,15.0,9.0,9.0
B01FFGO0XQ,VASE,11.0,7.0,31.0
B09H7H235B,VASE,15.0,15.0,15.0
B095CPPT55,VASE,20.0,8.5,8.5
B094XG3YJ8,VASE,19.0,18.0,18.0
B0081UETA8,VASE,4.6,12.0,12.0
B088HW6442,VASE,30.0,12.5,12.5
B01N6HP1MT,VASE,11.0,12.0,13.0
B095CPZN7P,VASE,20.0,8.5,8.5
B008NUQEQ8,VASE,50.0,10.0,10.0
B01FFVN1BI,VASE,11.0,7.0,31.0
B009ANZ2YC,VASE,35.0,10.0,10.0
B088HW6BVR,VASE,40.0,17.0,17.0
B088HX6XGV,VASE,40.0,17.0,17.0
B088HWZLDY,VASE,40.0,17.0,17.0
B008NUQE86,VASE,40.0,10.0,10.0
B088HWK5VD,VASE,30.0,12.5,12.5
B097ZZ64GP,VASE,18.3,9.5,9.5
B08CDMX8NK,VASE,26.5,11.5,11.5
B008TZVCX2,VASE,45.0,10.0,10.0
B00O7GP8G4,VASE,10.0,10.0,10.0
B01FFV5YSG,VASE,11.0,7.0,19.0
B01EAOCOAA,VASE,65.0,17.0,17.0
B008NUQS50,VASE,15.0,17.5,17.5
B0153ZWOWS,VASE,24.0,28.0,28.0
B08N18HF6D,VASE,15.0,9.0,9.0
B088HWN8XX,VASE,30.0,12.5,12.5
B08W8QCPVM,VASE,18.5,11.0,11.0
